Designator,Mid X,Mid Y,Rotation,Layer
C1_8,116.8,-101.3,90.0,top
C1_7,139.8,-101.3,90.0,top
C1_6,116.8,-88.3,90.0,top
C1_5,139.8,-88.3,90.0,top
C1_4,116.8,-75.3,90.0,top
C1_3,139.8,-75.3,90.0,top
C1_2,139.8,-62.3,90.0,top
C1,116.8,-62.3,90.0,top
C10_8,123.5,-109.7,90.0,top
C10_7,146.5,-109.7,90.0,top
C10_6,123.5,-96.7,90.0,top
C10_5,146.5,-96.7,90.0,top
C10_4,123.5,-83.7,90.0,top
C10_3,146.5,-83.7,90.0,top
C10_2,146.5,-70.7,90.0,top
C10,123.5,-70.7,90.0,top
C2_8,124.5,-103.1,90.0,top
C2_7,147.5,-103.1,90.0,top
C2_6,124.5,-90.1,90.0,top
C2_5,147.5,-90.1,90.0,top
C2_4,124.5,-77.1,90.0,top
C2_3,147.5,-77.1,90.0,top
C2_2,147.5,-64.1,90.0,top
C2,124.5,-64.1,90.0,top
C3_8,119.7,-100.5,180.0,top
C3_7,142.7,-100.5,180.0,top
C3_6,119.7,-87.5,180.0,top
C3_5,142.7,-87.5,180.0,top
C3_4,119.7,-74.5,180.0,top
C3_3,142.7,-74.5,180.0,top
C3_2,142.7,-61.5,180.0,top
C3,119.7,-61.5,180.0,top
C4_8,117.5,-105.3,270.0,top
C4_7,140.5,-105.3,270.0,top
C4_6,117.5,-92.3,270.0,top
C4_5,140.5,-92.3,270.0,top
C4_4,117.5,-79.3,270.0,top
C4_3,140.5,-79.3,270.0,top
C4_2,140.5,-66.3,270.0,top
C4,117.5,-66.3,270.0,top
C5_8,124.3,-107.2,0.0,top
C5_7,147.3,-107.2,0.0,top
C5_6,124.3,-94.2,0.0,top
C5_5,147.3,-94.2,0.0,top
C5_4,124.3,-81.2,0.0,top
C5_3,147.3,-81.2,0.0,top
C5_2,147.3,-68.2,0.0,top
C5,124.3,-68.2,0.0,top
C6_8,141.8,-108.0,180.0,top
C6_7,118.8,-108.0,180.0,top
C6_6,141.8,-95.0,180.0,top
C6_5,118.8,-95.0,180.0,top
C6_4,141.8,-82.0,180.0,top
C6_3,118.8,-82.0,180.0,top
C6_2,141.8,-69.0,180.0,top
C6,118.8,-69.0,180.0,top
C7_8,150.0,-105.8,270.0,top
C7_7,127.0,-105.8,270.0,top
C7_6,150.0,-92.8,270.0,top
C7_5,127.0,-92.8,270.0,top
C7_4,150.0,-79.8,270.0,top
C7_3,127.0,-79.8,270.0,top
C7_2,150.0,-66.8,270.0,top
C7,127.0,-66.8,270.0,top
C8_8,124.2,-105.8,270.0,top
C8_7,147.2,-105.8,270.0,top
C8_6,124.2,-92.8,270.0,top
C8_5,147.2,-92.8,270.0,top
C8_4,124.2,-79.8,270.0,top
C8_3,147.2,-79.8,270.0,top
C8_2,147.2,-66.8,270.0,top
C8,124.2,-66.8,270.0,top
C9_8,142.1,-110.0,270.0,top
C9_7,119.1,-110.0,270.0,top
C9_6,142.1,-97.0,270.0,top
C9_5,119.1,-97.0,270.0,top
C9_4,142.1,-84.0,270.0,top
C9_3,119.1,-84.0,270.0,top
C9_2,142.1,-71.0,270.0,top
C9,119.1,-71.0,270.0,top
J1_8,129.9,-105.3,270.0,top
J1_7,152.9,-105.3,270.0,top
J1_6,129.9,-92.3,270.0,top
J1_5,152.9,-92.3,270.0,top
J1_4,129.9,-79.3,270.0,top
J1_3,152.9,-79.3,270.0,top
J1_2,152.9,-66.3,270.0,top
J1,129.9,-66.3,270.0,top
J2_8,136.0,-105.5,0.0,bottom
J2_7,113.0,-105.5,0.0,bottom
J2_6,136.0,-92.5,0.0,bottom
J2_5,113.0,-92.5,0.0,bottom
J2_4,136.0,-79.5,0.0,bottom
J2_3,113.0,-79.5,0.0,bottom
J2_2,136.0,-66.5,0.0,bottom
J2,113.0,-66.5,0.0,bottom
L1_8,125.6,-105.3,180.0,top
L1_7,148.6,-105.3,180.0,top
L1_6,125.6,-92.3,180.0,top
L1_5,148.6,-92.3,180.0,top
L1_4,125.6,-79.3,180.0,top
L1_3,148.6,-79.3,180.0,top
L1_2,148.6,-66.3,180.0,top
L1,125.6,-66.3,180.0,top
R1_8,150.2,-101.5,0.0,top
R1_7,127.2,-101.5,0.0,top
R1_6,150.2,-88.5,0.0,top
R1_5,127.2,-88.5,0.0,top
R1_4,150.2,-75.5,0.0,top
R1_3,127.2,-75.5,0.0,top
R1_2,150.2,-62.5,0.0,top
R1,127.2,-62.5,0.0,top
U1_8,121.0,-104.0,270.0,top
U1_7,144.0,-104.0,270.0,top
U1_6,121.0,-91.0,270.0,top
U1_5,144.0,-91.0,270.0,top
U1_4,121.0,-78.0,270.0,top
U1_3,144.0,-78.0,270.0,top
U1_2,144.0,-65.0,270.0,top
U1,121.0,-65.0,270.0,top
Y1_8,121.5,-109.8,0.0,top
Y1_7,144.5,-109.8,0.0,top
Y1_6,121.5,-96.8,0.0,top
Y1_5,144.5,-96.8,0.0,top
Y1_4,121.5,-83.8,0.0,top
Y1_3,144.5,-83.8,0.0,top
Y1_2,144.5,-70.8,0.0,top
Y1,121.5,-70.8,0.0,top
